model_desc	model_type	lr	sampler	data_aug	epoch_stop	best_val_loss	acc	mcc	mi_p	mi_r	mi_f1	ma_p	ma_r	ma_f1
LinearDeep_lr0.01_defaultSampler_no_aug	LinearDeep	0.01	default	no_aug	18	0.38367916390256857	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
CNN32_lr0.01_defaultSampler_no_aug	CNN32	0.01	default	no_aug	161	0.37857397257079306	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
CNN128_lr0.01_defaultSampler_no_aug	CNN128	0.01	default	no_aug	28	0.37751840024928884	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
Kmer3_lr0.01_defaultSampler_no_aug	Kmer3	0.01	default	no_aug	43	0.3821851432495227	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
Kmer6_lr0.01_defaultSampler_no_aug	Kmer6	0.01	default	no_aug	57	0.3853136441893124	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
LinearDeep_lr0.001_defaultSampler_no_aug	LinearDeep	0.001	default	no_aug	227	0.3792987318993989	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
CNN32_lr0.001_defaultSampler_no_aug	CNN32	0.001	default	no_aug	211	0.37742978823975115	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
CNN128_lr0.001_defaultSampler_no_aug	CNN128	0.001	default	no_aug	102	0.3773895307988873	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
Kmer3_lr0.001_defaultSampler_no_aug	Kmer3	0.001	default	no_aug	100	0.3646040740033735	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
Kmer6_lr0.001_defaultSampler_no_aug	Kmer6	0.001	default	no_aug	588	0.3858195171404297	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
LinearDeep_lr0.01_rebalancedSampler_no_aug	LinearDeep	0.01	rebalanced	no_aug	97	0.5027310083853752	0.8703170028818443	-0.04913008615766032	0.8703170028818443	0.8703170028818443	0.8703170028818443	0.2996031746031746	0.32161874334398294	0.31022085259373394
CNN32_lr0.01_rebalancedSampler_no_aug	CNN32	0.01	rebalanced	no_aug	213	0.5417275561035881	0.8443804034582133	-0.012307709657586798	0.8443804034582133	0.8443804034582133	0.8443804034582133	0.31893004115226337	0.32485800496982603	0.3214721786150358
CNN128_lr0.01_rebalancedSampler_no_aug	CNN128	0.01	rebalanced	no_aug	154	0.5267284321853681	0.8414985590778098	0.015485243612006686	0.8414985590778098	0.8414985590778098	0.8414985590778098	0.33288829550511795	0.3366169684061058	0.33457179577053386
