locus_tag	op?
EQU24_RS00015	False
EQU24_RS04970	True
EQU24_RS17270	False
EQU24_RS06565	False
EQU24_RS00220	True
EQU24_RS00270	False
EQU24_RS02900	True
EQU24_RS20555	False
EQU24_RS11810	True
EQU24_RS14025	True
EQU24_RS00150	True
EQU24_RS19035	True
EQU24_RS05840	True
EQU24_RS19075	True
EQU24_RS11350	False
EQU24_RS17520	True
EQU24_RS11270	True
EQU24_RS17020	False
EQU24_RS09740	False
EQU24_RS21185	True
EQU24_RS17885	False
EQU24_RS17465	False
EQU24_RS01620	False
EQU24_RS10310	False
EQU24_RS14365	True
EQU24_RS18250	False
EQU24_RS15230	True
EQU24_RS19210	False
EQU24_RS10355	True
EQU24_RS11520	True
EQU24_RS17190	True
EQU24_RS20360	False
EQU24_RS04440	True
EQU24_RS03415	True
EQU24_RS06155	True
EQU24_RS08415	False
EQU24_RS09145	True
EQU24_RS16485	True
EQU24_RS11025	True
EQU24_RS08770	True
EQU24_RS07450	True
EQU24_RS18785	False
EQU24_RS18230	False
EQU24_RS03125	True
EQU24_RS21985	True
EQU24_RS18245	True
EQU24_RS12175	True
EQU24_RS15320	False
EQU24_RS03020	True
EQU24_RS18755	False
EQU24_RS00215	False
EQU24_RS11605	True
EQU24_RS08000	True
EQU24_RS11250	False
EQU24_RS17665	False
EQU24_RS17865	True
EQU24_RS02980	False
EQU24_RS07630	True
EQU24_RS18045	True
EQU24_RS13175	True
EQU24_RS06800	True
EQU24_RS01270	True
EQU24_RS07750	True
EQU24_RS21940	False
EQU24_RS01710	False
EQU24_RS20805	True
EQU24_RS09480	False
EQU24_RS14410	True
EQU24_RS03535	False
EQU24_RS00395	True
EQU24_RS05930	False
EQU24_RS00535	True
EQU24_RS16605	True
EQU24_RS11690	True
EQU24_RS16585	True
EQU24_RS15340	False
EQU24_RS17770	False
EQU24_RS16390	False
EQU24_RS02435	False
EQU24_RS16010	True
EQU24_RS20935	True
EQU24_RS01195	True
EQU24_RS05480	False
EQU24_RS06220	False
EQU24_RS07390	False
EQU24_RS05965	False
EQU24_RS06535	True
EQU24_RS10485	True
EQU24_RS06185	False
EQU24_RS15190	True
EQU24_RS11515	False
EQU24_RS21835	False
EQU24_RS07985	True
EQU24_RS18350	False
EQU24_RS18020	True
EQU24_RS14815	True
EQU24_RS07935	True
EQU24_RS19600	True
EQU24_RS19965	True
EQU24_RS12455	False
EQU24_RS02875	False
EQU24_RS20305	True
EQU24_RS13295	False
EQU24_RS16870	True
EQU24_RS00770	False
EQU24_RS12195	True
EQU24_RS21920	False
EQU24_RS08695	False
EQU24_RS01790	True
EQU24_RS02070	False
EQU24_RS05430	True
EQU24_RS17730	True
EQU24_RS16985	False
EQU24_RS01665	True
EQU24_RS10440	False
EQU24_RS08880	False
EQU24_RS16925	True
EQU24_RS15055	False
EQU24_RS00415	True
EQU24_RS10665	False
EQU24_RS19615	True
EQU24_RS17350	False
EQU24_RS02250	True
EQU24_RS06720	False
EQU24_RS05820	False
EQU24_RS09675	True
EQU24_RS19175	False
